Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for windows-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:39:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16644816k(3574404k free), swap 41039712k(11202652k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=266317056 -XX:+ManagementServer -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
5.948: [GC (Allocation Failure) [PSYoungGen: 159264K->32K(164352K)] 174161K->14929K(275968K), 0.0012484 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.989: [GC (Allocation Failure) [PSYoungGen: 159264K->32K(165376K)] 174161K->14929K(276992K), 0.0013553 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.031: [GC (Allocation Failure) [PSYoungGen: 160800K->0K(165376K)] 175697K->14897K(276992K), 0.0013819 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.073: [GC (Allocation Failure) [PSYoungGen: 160768K->0K(165376K)] 175665K->14897K(276992K), 0.0015174 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.114: [GC (Allocation Failure) [PSYoungGen: 161280K->0K(165376K)] 176177K->14897K(276992K), 0.0015233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.155: [GC (Allocation Failure) [PSYoungGen: 161280K->32K(165888K)] 176177K->14929K(277504K), 0.0016589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.196: [GC (Allocation Failure) [PSYoungGen: 162336K->64K(165888K)] 177233K->14961K(277504K), 0.0012720 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.240: [GC (Allocation Failure) [PSYoungGen: 162368K->0K(166400K)] 177265K->14897K(278016K), 0.0017238 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.281: [GC (Allocation Failure) [PSYoungGen: 163328K->0K(166400K)] 178225K->14897K(278016K), 0.0015371 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.321: [GC (Allocation Failure) [PSYoungGen: 163323K->0K(166912K)] 178221K->14897K(278528K), 0.0013507 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
